iter	Passed	Remaining
221	1061	3719
222	1065	3713
223	1070	3707
224	1074	3702
225	1079	3697
226	1084	3691
227	1088	3686
228	1093	3680
229	1097	3675
230	1102	3670
231	1107	3664
232	1111	3659
233	1116	3653
234	1120	3647
235	1125	3641
236	1129	3636
237	1134	3631
238	1138	3625
239	1143	3620
240	1147	3614
241	1152	3609
242	1156	3604
243	1161	3599
244	1166	3593
245	1170	3588
246	1175	3583
247	1179	3577
248	1184	3572
249	1189	3567
250	1193	3561
251	1198	3556
252	1202	3550
253	1207	3547
254	1212	3542
255	1216	3536
256	1221	3532
257	1226	3527
258	1230	3521
259	1237	3523
260	1243	3520
261	1248	3516
262	1252	3511
263	1257	3505
264	1262	3501
265	1266	3495
266	1271	3490
267	1275	3484
268	1280	3481
269	1285	3475
270	1289	3470
271	1294	3464
272	1304	3472
273	1309	3468
274	1314	3464
275	1318	3459
276	1323	3454
277	1328	3450
278	1333	3445
279	1337	3440
280	1343	3436
281	1347	3431
282	1352	3426
283	1356	3420
284	1361	3415
285	1365	3410
286	1370	3404
287	1376	3403
288	1383	3403
289	1389	3402
290	1395	3400
291	1400	3394
292	1404	3389
293	1410	3386
294	1414	3380
295	1419	3375
296	1423	3369
297	1428	3364
298	1433	3360
299	1437	3355
300	1442	3350
301	1447	3345
302	1451	3339
303	1456	3334
304	1461	3329
305	1465	3324
306	1470	3318
307	1474	3313
308	1479	3307
309	1483	3302
310	1488	3297
311	1492	3291
312	1497	3286
313	1501	3281
314	1506	3275
315	1511	3270
316	1515	3265
317	1520	3260
318	1524	3255
319	1529	3250
320	1534	3245
321	1538	3239
322	1543	3234
323	1547	3229
324	1552	3223
325	1556	3218
326	1561	3212
327	1565	3207
328	1570	3202
329	1574	3196
330	1579	3191
331	1583	3186
332	1588	3181
333	1592	3176
334	1597	3170
335	1602	3165
336	1606	3160
337	1611	3156
338	1616	3152
339	1621	3146
340	1625	3141
341	1630	3136
342	1634	3131
343	1639	3126
344	1643	3121
345	1648	3115
346	1653	3110
347	1657	3105
348	1662	3101
349	1667	3096
350	1673	3094
351	1678	3089
352	1682	3084
353	1687	3079
354	1691	3073
355	1696	3068
356	1701	3063
357	1705	3058
358	1710	3054
359	1715	3049
360	1719	3043
361	1724	3039
362	1728	3033
363	1733	3028
364	1738	3023
365	1745	3023
366	1750	3018
367	1757	3017
368	1762	3013
369	1766	3008
370	1771	3003
371	1776	2999
372	1781	2994
373	1786	2990
374	1791	2985
375	1795	2980
376	1800	2975
377	1804	2969
378	1809	2964
379	1813	2959
380	1818	2954
381	1823	2949
382	1827	2944
383	1834	2943
384	1839	2939
385	1844	2934
386	1849	2928
387	1853	2923
388	1858	2918
389	1862	2913
390	1867	2908
391	1871	2903
392	1876	2898
393	1881	2893
394	1885	2888
395	1890	2882
396	1894	2877
397	1899	2872
398	1903	2867
399	1908	2862
400	1913	2857
401	1919	2856
402	1927	2854
403	1934	2853
404	1939	2849
405	1944	2844
406	1948	2839
407	1953	2834
408	1958	2829
409	1962	2824
410	1967	2819
411	1972	2814
412	1976	2809
413	1981	2804
414	1986	2799
415	1990	2794
416	1995	2789
417	1999	2784
418	2004	2779
419	2008	2774
420	2013	2769
421	2020	2768
422	2026	2764
423	2031	2760
424	2036	2755
425	2041	2750
426	2046	2745
427	2050	2740
428	2055	2735
429	2059	2730
430	2064	2725
431	2069	2721
432	2074	2716
433	2079	2711
434	2083	2706
435	2088	2701
436	2092	2696
437	2097	2691
438	2101	2685
439	2107	2682
440	2114	2680
441	2136	2696
442	2140	2691
443	2145	2686
444	2150	2681
445	2155	2677
446	2160	2672
447	2164	2667
448	2170	2663
449	2175	2658
450	2179	2653
451	2184	2648
452	2188	2642
453	2193	2637
454	2197	2632
455	2202	2627
456	2206	2622
457	2211	2617
458	2216	2611
459	2220	2606
460	2225	2601
461	2229	2596
462	2234	2591
463	2238	2586
464	2243	2580
465	2247	2575
466	2252	2570
467	2256	2565
468	2261	2560
469	2265	2554
470	2270	2549
471	2274	2544
472	2279	2539
473	2284	2534
474	2288	2529
475	2293	2524
476	2297	2519
477	2302	2514
478	2306	2508
479	2311	2503
480	2315	2498
481	2320	2493
482	2324	2488
483	2329	2483
484	2334	2478
485	2338	2473
486	2343	2468
487	2347	2463
488	2352	2458
489	2356	2453
490	2361	2447
491	2365	2442
492	2370	2438
493	2375	2433
494	2380	2428
495	2384	2423
496	2389	2418
497	2393	2413
498	2398	2408
499	2402	2402
500	2407	2397
501	2411	2392
502	2416	2387
503	2421	2382
504	2425	2377
505	2429	2372
506	2434	2367
507	2438	2362
508	2443	2357
509	2448	2352
510	2452	2346
511	2457	2341
512	2461	2336
513	2466	2331
514	2470	2326
515	2475	2321
516	2479	2316
517	2484	2311
518	2488	2306
519	2493	2301
520	2498	2296
521	2502	2291
522	2507	2286
523	2511	2281
524	2516	2276
525	2521	2271
526	2525	2266
527	2530	2261
528	2534	2256
529	2539	2251
530	2543	2246
531	2548	2241
532	2553	2236
533	2559	2233
534	2566	2230
535	2572	2227
536	2581	2225
537	2586	2220
538	2590	2215
539	2595	2211
540	2600	2206
541	2605	2201
542	2609	2196
543	2614	2191
544	2619	2186
545	2623	2181
546	2628	2176
547	2632	2171
548	2637	2166
549	2641	2161
550	2646	2156
551	2651	2151
552	2655	2146
553	2661	2142
554	2679	2148
555	2684	2144
556	2689	2139
557	2694	2134
558	2699	2129
559	2704	2125
560	2709	2120
561	2714	2115
562	2718	2110
563	2723	2105
564	2741	2110
565	2746	2105
566	2750	2100
567	2755	2095
568	2759	2090
569	2764	2085
570	2769	2080
571	2777	2078
572	2782	2073
573	2787	2068
574	2792	2063
575	2798	2059
576	2802	2054
577	2807	2049
578	2812	2045
579	2817	2039
580	2821	2034
581	2826	2029
582	2831	2024
583	2835	2019
584	2840	2014
585	2844	2009
586	2849	2004
587	2853	1999
588	2858	1994
589	2862	1989
590	2867	1984
591	2871	1979
592	2876	1974
593	2880	1969
594	2885	1963
595	2889	1958
596	2894	1953
597	2899	1948
598	2903	1943
599	2908	1938
600	2912	1933
601	2921	1931
602	2926	1927
603	2931	1922
604	2936	1916
605	2940	1912
606	2945	1906
607	2949	1901
608	2954	1896
609	2959	1892
610	2964	1887
611	2968	1881
612	2973	1876
613	2977	1871
614	2981	1866
615	2986	1861
616	2991	1856
617	2995	1851
618	3000	1846
619	3005	1841
620	3009	1836
621	3016	1833
622	3023	1829
623	3028	1825
624	3033	1820
625	3037	1815
626	3042	1810
627	3050	1806
628	3055	1801
629	3062	1798
630	3068	1794
631	3072	1789
632	3077	1784
633	3082	1779
634	3087	1774
635	3092	1769
636	3096	1764
637	3101	1759
638	3106	1754
639	3110	1749
640	3115	1744
641	3120	1739
642	3124	1734
643	3129	1729
644	3133	1724
645	3141	1721
646	3148	1717
647	3152	1712
648	3157	1707
649	3162	1703
650	3167	1698
651	3172	1693
652	3177	1688
653	3182	1683
654	3190	1680
655	3196	1676
656	3200	1671
657	3205	1666
658	3210	1661
659	3215	1656
660	3219	1651
661	3224	1646
662	3229	1641
663	3233	1636
664	3238	1631
665	3242	1626
666	3247	1621
667	3252	1616
668	3257	1611
669	3261	1606
670	3266	1601
671	3276	1599
672	3281	1594
673	3285	1589
674	3295	1586
675	3300	1581
676	3306	1577
677	3311	1572
678	3316	1567
679	3321	1562
680	3325	1557
681	3330	1552
682	3345	1552
683	3350	1547
684	3354	1542
685	3359	1537
686	3371	1535
687	3376	1531
688	3380	1526
689	3385	1521
690	3390	1516
691	3395	1511
692	3400	1506
693	3405	1501
694	3409	1496
695	3414	1491
696	3419	1486
697	3423	1481
698	3428	1476
699	3432	1471
700	3437	1466
701	3441	1461
702	3446	1456
703	3450	1450
704	3455	1445
705	3459	1440
706	3464	1435
707	3468	1430
708	3473	1425
709	3477	1420
710	3482	1415
711	3496	1414
712	3504	1410
713	3509	1405
714	3514	1400
715	3519	1395
716	3524	1391
717	3529	1386
718	3533	1381
719	3540	1376
720	3545	1371
721	3549	1366
722	3555	1362
723	3561	1357
724	3566	1352
725	3572	1348
726	3577	1343
727	3582	1338
728	3588	1334
729	3594	1329
730	3598	1324
731	3603	1319
732	3608	1314
733	3613	1309
734	3618	1304
735	3623	1299
736	3632	1296
737	3641	1292
738	3655	1290
739	3668	1289
740	3676	1285
741	3683	1280
742	3694	1277
743	3702	1273
744	3709	1269
745	3713	1264
746	3720	1260
747	3725	1255
748	3730	1250
749	3735	1245
750	3741	1240
751	3745	1235
752	3750	1230
753	3755	1225
754	3760	1220
755	3765	1215
756	3771	1210
757	3775	1205
758	3780	1200
759	3786	1195
760	3790	1190
761	3795	1185
762	3802	1180
763	3806	1175
764	3811	1170
765	3815	1165
766	3820	1160
767	3825	1155
768	3830	1150
769	3835	1145
770	3840	1140
771	3845	1135
772	3850	1130
773	3855	1125
774	3861	1120
775	3866	1115
776	3870	1110
777	3875	1105
778	3880	1100
779	3884	1095
780	3889	1090
781	3894	1085
782	3899	1080
783	3904	1075
784	3909	1070
785	3914	1065
786	3920	1061
787	3925	1056
788	3930	1051
789	3935	1046
790	3939	1041
791	3944	1035
792	3949	1031
793	3954	1026
794	3959	1021
795	3964	1015
796	3968	1010
797	3974	1006
798	3981	1001
799	3986	996
800	3991	991
801	3995	986
802	4000	981
803	4005	976
804	4010	971
805	4015	966
806	4020	961
807	4025	956
808	4029	951
809	4034	946
810	4040	941
811	4045	936
812	4050	931
813	4054	926
814	4059	921
815	4064	916
816	4068	911
817	4074	906
818	4079	901
819	4084	896
820	4089	891
821	4094	886
822	4098	881
823	4104	876
824	4109	871
825	4113	866
826	4118	861
827	4128	857
828	4135	853
829	4142	848
830	4157	845
831	4167	841
832	4173	836
833	4180	832
834	4185	827
835	4199	823
836	4206	819
837	4217	815
838	4228	811
839	4238	807
840	4246	802
841	4253	798
842	4265	794
843	4273	789
844	4283	785
845	4292	781
846	4303	777
847	4320	774
848	4328	769
849	4341	766
850	4351	761
851	4362	757
852	4377	754
853	4389	750
854	4402	746
855	4411	742
856	4430	739
857	4442	735
858	4452	730
859	4460	726
860	4467	721
861	4472	716
862	4478	710
863	4483	705
864	4488	700
865	4497	695
866	4503	690
867	4509	685
868	4515	680
869	4520	675
870	4527	670
871	4532	665
872	4537	660
873	4542	654
874	4548	649
875	4552	644
876	4557	639
877	4563	634
878	4568	628
879	4573	623
880	4578	618
881	4584	613
882	4588	608
883	4594	602
884	4599	597
885	4604	592
886	4609	587
887	4614	581
888	4618	576
889	4623	571
890	4627	566
891	4632	560
892	4637	555
893	4645	550
894	4649	545
895	4654	540
896	4658	534
897	4663	529
898	4667	524
899	4672	519
900	4677	513
901	4681	508
902	4686	503
903	4690	498
904	4694	492
905	4699	487
906	4704	482
907	4708	477
908	4713	471
909	4717	466
910	4722	461
911	4726	456
912	4731	450
913	4735	445
914	4740	440
915	4745	435
916	4749	429
917	4754	424
918	4758	419
919	4764	414
920	4772	409
921	4779	404
922	4789	399
923	4795	394
924	4801	389
925	4805	384
926	4810	378
927	4815	373
928	4820	368
929	4825	363
930	4829	357
931	4834	352
932	4839	347
933	4843	342
934	4848	337
935	4852	331
936	4857	326
937	4861	321
938	4866	316
939	4870	310
940	4875	305
941	4879	300
942	4884	295
943	4889	290
944	4894	284
945	4899	279
946	4904	274
947	4909	269
948	4914	264
949	4923	259
950	4928	253
951	4934	248
952	4939	243
953	4945	238
954	4953	233
955	4960	228
956	4965	223
957	4970	217
958	4976	212
959	4981	207
960	4986	202
961	4991	197
962	4996	191
963	5001	186
964	5005	181
965	5010	176
966	5015	171
967	5020	165
968	5025	160
969	5029	155
970	5034	150
971	5039	145
972	5043	139
973	5048	134
974	5052	129
975	5057	124
976	5062	119
977	5066	113
978	5072	108
979	5078	103
980	5082	98
981	5087	93
982	5092	88
983	5097	82
984	5102	77
985	5107	72
986	5112	67
987	5117	62
988	5122	56
989	5127	51
990	5132	46
991	5138	41
992	5144	36
993	5149	31
994	5154	25
995	5158	20
996	5173	15
997	5183	10
998	5193	5
999	5199	0
